HostTimestamp,X (mg),Y (mg),Z (mg)
50,-24,2,1018
100,-11,7,1017
150,-5,3,1014
200,-28,-14,1000
250,-22,-34,993
300,-47,-22,1037
350,-70,-22,1041
400,-60,-59,999
450,-51,-23,1029
500,-35,2,1047
550,-32,-2,1012
600,-20,-3,1016
650,-26,-7,1011
700,6,18,1001
750,-4,15,1008
800,-26,4,1003
850,-29,-2,1017
900,-34,13,1049
950,-37,18,1049
1000,-49,-6,1009
1050,-16,15,1026
1100,-16,25,1039
1150,-6,14,996
1200,-10,63,1061
1250,-32,31,1028
1300,-60,23,1024
1350,-60,-12,1011
1400,-58,-28,1009
1450,-55,-11,1020
1500,-35,9,1011
1550,-39,8,999
1600,-44,13,994
1650,-10,-20,979
1700,-2,8,1059
1750,-29,72,1105
1800,-44,76,1054
1850,-49,0,964
1900,-30,-27,995
1950,-12,-15,1028
2000,-65,55,1050
2050,-42,37,1015
2100,27,46,1025
2150,16,21,1019
2200,-70,24,1074
2250,-66,17,1038
2300,-71,22,1073
2350,-74,-8,1059
2400,-71,-20,1010
2450,-66,-10,995
2500,-60,16,1054
2550,-39,-14,1068
2600,-19,-10,1021
2650,-13,-33,1039
2700,22,27,1046
2750,40,-14,982
2800,29,-13,994
2850,19,-50,1042
2900,-23,-12,1042
2950,-2,-4,1045
3000,-8,50,1042
3050,-8,-10,1032
3100,-13,-18,1002
3150,-11,-33,973
3200,3,-31,947
3250,14,-22,983
3300,9,-32,991
3350,6,-37,993
3400,9,-18,1038
3450,18,-22,1034
3500,3,-40,1013
3550,0,-33,1026
3600,14,-22,1022
3650,13,-23,1020
3700,19,-21,1026
3750,11,-26,1019
3800,5,-40,1005
3850,4,-22,1033
3900,1,-25,1018
3950,9,-22,1022
4000,9,-21,1020
4050,20,-25,999
4100,30,-8,1019
4150,21,-10,1035
4200,10,-22,1027
4250,29,-14,1037
4300,23,-20,1016
4350,29,-39,1003
4400,17,-33,1021
4450,44,-17,1040
4500,58,-32,1009
4550,31,-22,1032
4600,27,-16,1030
4650,31,-12,1043
4700,63,6,1042
4750,40,-16,1028
4800,46,-19,1008
4850,39,-19,1028
4900,80,-12,999
4950,3,-2,23
5000,2,-2,26
5050,2,0,32
5100,4,0,40
5150,1,1,48
5200,0,1,59
5250,2,4,75
5300,-1,6,89
5350,-673,1997,1998
5400,-18,-28,-15
5450,123,49,10
5500,1157,-295,384
5550,-1192,407,1998
5600,693,52,933
5650,321,88,913
