X (mg),Y (mg),Z (mg)
-195,21,995
-194,21,998
-194,24,998
-188,26,997
-192,23,995
-192,21,994
-532,159,717
-176,32,1098
-464,190,1226
189,46,1184
-237,46,1123
-127,70,1326
-135,-26,1449
-125,-141,1451
-150,-112,1396
-53,-38,1369
-212,138,1263
-452,97,1152
-288,163,1177
-434,137,993
-253,267,836
-357,168,689
-106,175,586
-113,96,635
-71,62,661
20,106,735
28,64,789
39,7,787
99,7,786
38,-35,801
18,-71,855
-77,-83,864
-79,-46,1013
-40,-35,1030
51,-15,968
1,-24,1024
34,-19,986
-14,-11,1033
-8,-14,1019
-4,-19,1047
-15,-11,980
29,11,1036
2,18,1045
29,13,1018
24,-19,1008
45,-12,991
28,-27,992
38,2,1026
42,0,920
0,-6,20
0,-6,25
3,-6,30
6,-4,38
6,-5,46
8,-4,50
9,-5,61
10,-8,75
-1858,-1342,1998
-1,29,-26
23,2,-36
-79,-301,406
93,-585,718
-94,-270,967
-202,-235,976
-172,-237,980
-167,-237,972
-162,-236,972
-162,-238,971
-162,-239,973
