HostTimestamp,X (mg),Y (mg),Z (mg)
50,-12,0,1024
100,-6,1,1025
150,-12,2,1025
200,-10,0,1027
250,-8,-1,1025
300,-15,2,1024
350,-9,0,1023
400,-5,1,1023
450,-8,0,1024
500,-11,0,1023
550,-13,0,1023
600,-14,-1,1022
650,-17,-2,1022
700,-16,3,1021
750,-17,4,1022
800,-13,7,1021
850,-20,-15,1021
900,-19,-10,1021
950,-8,2,1024
1000,-88,23,1022
1050,-159,1,1003
1100,-232,-15,986
1150,-256,-8,985
1200,-255,-12,986
1250,-266,0,984
1300,-262,-16,987
1350,-276,2,978
1400,-373,-5,941
1450,-424,-19,910
1500,-538,0,849
1550,-573,-10,831
1600,-654,-6,773
1650,-708,-10,719
1700,-739,-12,679
1750,-793,-32,606
1800,-840,-15,541
1850,-887,2,471
1900,-922,-17,398
1950,-937,-6,342
2000,-974,-23,268
2050,-975,-20,191
2100,-994,-13,141
2150,-992,-8,28
2200,-1003,-6,41
2250,-1000,0,34
2300,-998,-4,55
2350,-999,-8,51
2400,-999,-12,54
2450,-999,-7,55
2500,-998,-10,60
2550,-998,-9,57
2600,-1000,-7,55
2650,-999,-10,50
2700,-999,-9,54
2750,-998,-10,53
2800,-1000,-7,53
2850,-1000,-8,55
2900,-998,-9,60
2950,-1007,-8,54
3000,-1050,-44,112
3050,-1005,-18,125
3100,-973,-20,200
3150,-968,-44,281
3200,-931,-1,404
3250,-742,-17,605
3300,-652,12,769
3350,-594,-7,844
3400,-438,-7,909
3450,-426,24,934
3500,-360,-5,953
3550,-266,-1,982
3600,-170,-5,999
3650,-19,0,1026
3700,-15,0,1025
3750,-11,2,1024
3800,-10,0,1025
3850,-13,2,1023
