X (mg),Y (mg),Z (mg)
-12,-2,1045
-25,1,1048
-15,2,1048
-17,0,1049
-19,2,1050
-17,2,1048
-20,-4,1049
-17,2,1050
-21,0,1050
-17,1,1050
-17,4,1050
-20,0,1051
-16,1,1051
-15,2,1051
-11,2,1054
-4,0,1056
-174,-40,1026
-208,1,1014
-346,-1,968
-506,-8,903
-538,15,855
-640,-7,799
-699,-9,754
-719,-11,727
-749,-7,685
-785,-4,648
-815,-23,608
-847,-25,557
-884,-20,499
-917,-17,417
-946,-10,341
-943,6,174
-982,-8,145
-1012,-13,77
-997,-13,60
-998,-18,74
-999,-13,66
-998,-16,69
-998,-10,73
-999,-14,77
-995,-17,80
-998,-15,78
-1000,-15,76
-998,-13,76
-998,-15,73
-999,-12,70
-1002,-14,70
-982,-17,88
-1001,-87,-23
-1004,-14,98
-996,-19,149
-999,-19,179
-981,-3,304
-897,-34,396
-826,-20,550
-736,-12,673
-694,-12,738
-594,-5,817
-591,-2,848
-494,-3,890
-410,-21,944
-269,-6,1003
-197,12,1012
2,45,1060
13,75,1051
-13,59,1050
-23,47,1056
-21,36,1059
