HostTimestamp,X (mg),Y (mg),Z (mg)
50,-1,1,1023
100,-10,-3,1024
150,0,3,1023
200,-6,2,1024
250,-6,2,1023
300,0,2,1024
350,-4,-2,1024
400,-6,3,1023
450,-3,0,1024
500,-1,-1,1023
550,-6,2,1023
600,-5,6,1021
650,12,-11,1025
700,-5,-16,1024
750,-12,-1,1024
800,4,3,1022
850,-8,4,1024
900,-5,-5,1024
950,-1,5,1024
1000,-5,-2,1024
1050,-4,5,1024
1100,-2,0,1024
1150,-3,0,1023
1200,-4,0,1024
1250,-3,0,1024
1300,-4,0,1025
1350,-3,0,1023
1400,-5,1,1024
1450,-3,1,1023
1500,-5,-4,1024
1550,-4,3,1024
1600,-2,4,1024
1650,-5,5,1024
1700,-5,-1,1025
1750,-2,3,1025
1800,-7,2,1025
1850,-3,5,1024
1900,-4,-5,1023
1950,-2,5,1025
2000,-9,-2,1025
2050,-3,3,1024
2100,0,-2,1025
2150,-7,2,1024
2200,-2,0,1026
2250,-3,0,1025
2300,-5,0,1024
2350,-1,4,1025
2400,-6,1,1024
2450,0,2,1025
2500,-6,0,1025
2550,-1,0,1025
2600,-2,0,1024
2650,-5,2,1025
2700,-5,2,1024
2750,-14,1,1054
2800,36,15,1024
2850,40,0,1040
2900,84,4,1032
2950,166,-33,999
3000,199,-7,1011
3050,269,4,999
3100,347,5,970
3150,423,14,921
3200,495,20,878
3250,589,13,836
3300,618,-3,803
3350,685,2,756
3400,738,29,698
3450,856,15,520
3500,892,11,452
3550,927,19,345
3600,1092,54,38
3650,984,10,127
3700,1001,19,106
3750,1001,10,78
3800,998,25,84
3850,999,9,90
3900,998,25,92
3950,999,16,91
4000,999,18,89
4050,1000,15,92
4100,1000,19,88
4150,1010,21,78
4200,1033,29,127
4250,988,17,219
4300,997,13,187
4350,958,6,286
4400,982,20,266
4450,942,15,349
4500,950,15,358
4550,919,16,419
4600,837,12,564
4650,844,11,546
4700,739,12,696
4750,691,23,731
4800,632,20,793
4850,549,15,844
4900,431,9,905
4950,338,-12,1027
5000,257,3,982
5050,198,-6,1045
5100,108,0,1031
5150,8,9,1037
5200,-15,3,1026
5250,-1,2,1028
5300,-2,-2,1025
5350,-9,3,1025
