X (mg),Y (mg),Z (mg)
-6,0,1024
-6,0,1024
-4,3,1024
-3,0,1024
-7,3,1024
-5,3,1025
-4,3,1024
-6,5,1025
-4,0,1024
-9,2,1024
-1,2,1025
-8,6,1026
29,-6,994
65,-8,1102
227,16,983
332,25,973
502,-15,852
641,5,753
773,10,604
895,26,438
956,33,326
971,18,260
990,5,200
1003,8,101
999,13,83
1000,19,89
999,26,89
999,11,86
999,17,89
998,19,93
998,18,88
999,16,86
999,16,89
1030,14,34
978,5,166
948,36,273
901,23,387
824,14,570
779,14,641
725,10,715
675,18,760
622,19,823
569,15,865
514,1,884
438,-14,922
401,20,958
347,-3,966
286,2,975
186,1,1005
137,7,1021
47,-5,1041
51,1,1165
-6,-12,1034
-5,1,1026
-5,2,1023
-7,-6,1024
-2,0,1024
